PolicyID,PolicyTitle,PolicyType,Status,OwnerDepartmentID,EffectiveDate,LastApprovedDate,NextReview
POL-0150,Policy 150: Security Management,Admin,Draft,DEP-008,11/23/05,10/23/23,10/22/26
POL-0151,Policy 151: Travel Management,Admin,Under Review,DEP-001,8/14/10,10/3/24,10/3/27
POL-0152,Policy 152: Risk Management,HR,Approved,DEP-007,2/25/22,10/25/23,10/24/26
POL-0153,Policy 153: Risk Management,HR,Retired,DEP-010,2/12/22,2/26/24,2/25/27
POL-0154,Policy 154: Retention Management,Employer,Approved,DEP-006,7/19/25,5/1/23,4/30/26
POL-0155,Policy 155: Procurement Management,Employer,Approved,DEP-011,1/18/07,3/30/22,3/29/25
POL-0156,Policy 156: Travel Management,Legal,Draft,DEP-005,1/12/20,10/10/23,10/9/26
POL-0157,Policy 157: Procurement Management,Employer,Approved,DEP-001,6/20/11,10/16/23,10/15/26
POL-0158,Policy 158: Retention Management,HR,Approved,DEP-012,3/15/15,12/2/24,12/2/27
POL-0159,Policy 159: Security Management,Member,Under Review,DEP-004,5/26/24,5/23/24,5/23/27
POL-0160,Policy 160: Retention Management,Employer,Approved,DEP-001,4/9/14,8/5/24,8/5/27
POL-0161,Policy 161: Risk Management,Employer,Approved,DEP-007,1/11/19,10/14/22,10/13/25
POL-0162,Policy 162: Conduct Management,Finance,Approved,DEP-009,4/27/17,7/26/24,7/26/27
POL-0163,Policy 163: Training Management,Compliance,Approved,DEP-014,8/25/05,7/25/24,7/25/27
POL-0164,Policy 164: Conduct Management,Operations,Approved,DEP-007,12/21/11,9/22/22,9/21/25
POL-0165,Policy 165: Procurement Management,Compliance,Under Review,DEP-005,1/15/10,5/2/24,5/2/27
POL-0166,Policy 166: Training Management,Compliance,Approved,DEP-004,7/13/19,5/28/24,5/28/27
POL-0167,Policy 167: Leave Management,Risk,Under Review,DEP-015,10/27/20,12/17/24,12/17/27
POL-0168,Policy 168: Training Management,Employer,Draft,DEP-001,6/20/10,12/12/24,12/12/27
POL-0169,Policy 169: Security Management,IT,Approved,DEP-015,6/12/18,12/24/24,12/24/27
POL-0170,Policy 170: Security Management,Finance,Draft,DEP-006,5/1/22,9/9/24,9/9/27
POL-0171,Policy 171: Travel Management,Risk,Approved,DEP-006,12/29/10,9/28/23,9/27/26
POL-0172,Policy 172: Leave Management,Admin,Approved,DEP-001,5/3/13,8/9/24,8/9/27
POL-0173,Policy 173: Access Management,Employer,Approved,DEP-004,1/30/17,10/11/22,10/10/25
POL-0174,Policy 174: Retention Management,Risk,Draft,DEP-008,6/18/13,9/9/24,9/9/27
POL-0175,Policy 175: Conduct Management,IT,Approved,DEP-004,10/29/17,8/15/24,8/15/27
POL-0176,Policy 176: Records Management,Legal,Retired,DEP-006,9/14/21,9/25/23,9/24/26
POL-0177,Policy 177: Procurement Management,Operations,Under Review,DEP-009,2/10/16,9/16/24,9/16/27
POL-0178,Policy 178: Retention Management,Admin,Approved,DEP-001,6/12/12,4/18/24,4/18/27
POL-0179,Policy 179: Security Management,Risk,Approved,DEP-001,6/3/25,10/29/24,10/29/27
POL-0180,Policy 180: Procurement Management,Operations,Approved,DEP-013,9/5/06,7/15/24,7/15/27
POL-0181,Policy 181: Travel Management,Admin,Approved,DEP-004,7/15/20,9/25/23,9/24/26
POL-0182,Policy 182: Travel Management,Risk,Approved,DEP-005,7/11/13,10/15/21,10/14/24
POL-0183,Policy 183: Retention Management,HR,Approved,DEP-014,11/7/18,10/22/24,10/22/27
POL-0184,Policy 184: Conduct Management,IT,Draft,DEP-014,9/26/14,9/23/24,9/23/27
POL-0185,Policy 185: Security Management,Employer,Draft,DEP-001,9/24/08,12/30/24,12/30/27
POL-0186,Policy 186: Records Management,HR,Draft,DEP-001,11/10/22,11/17/22,11/16/25
POL-0187,Policy 187: Procurement Management,Operations,Approved,DEP-001,6/24/10,9/9/24,9/9/27
POL-0188,Policy 188: Access Management,Operations,Approved,DEP-001,11/24/13,12/12/24,12/12/27
POL-0189,Policy 189: Risk Management,IT,Draft,DEP-012,2/29/16,9/21/20,9/21/23
POL-0190,Policy 190: Conduct Management,Employer,Approved,DEP-011,4/23/19,11/12/24,11/12/27
POL-0191,Policy 191: Records Management,Employer,Approved,DEP-001,3/19/25,10/25/23,10/24/26
POL-0192,Policy 192: Access Management,Compliance,Retired,DEP-008,11/28/14,9/19/24,9/19/27
POL-0193,Policy 193: Leave Management,Member,Approved,DEP-010,4/24/11,11/4/24,11/4/27
POL-0194,Policy 194: Leave Management,IT,Under Review,DEP-002,8/18/13,8/21/24,8/21/27
POL-0195,Policy 195: Conduct Management,Compliance,Approved,DEP-010,10/30/17,2/4/21,2/4/24
POL-0196,Policy 196: Leave Management,HR,Approved,DEP-014,8/14/23,10/31/24,10/31/27
POL-0197,Policy 197: Records Management,Admin,Approved,DEP-004,5/27/24,11/18/21,11/17/24
POL-0198,Policy 198: Records Management,Admin,Retired,DEP-003,9/18/21,1/4/24,1/3/27
POL-0199,Policy 199: Conduct Management,Admin,Approved,DEP-015,12/27/22,11/19/24,11/19/27
POL-0200,Policy 200: Conduct Management,Admin,Approved,DEP-010,8/16/10,12/30/24,12/30/27
POL-0201,Policy 201: Access Management,Compliance,Retired,DEP-001,4/6/25,4/29/24,4/29/27
POL-0202,Policy 202: Leave Management,Employer,Approved,DEP-006,10/1/05,12/26/24,12/26/27
POL-0203,Policy 203: Access Management,Compliance,Retired,DEP-003,5/27/25,1/16/24,1/15/27
POL-0204,Policy 204: Procurement Management,Operations,Retired,DEP-004,7/3/09,2/2/24,2/1/27
POL-0205,Policy 205: Retention Management,Admin,Draft,DEP-013,6/28/25,1/22/24,1/21/27
POL-0206,Policy 206: Leave Management,Employer,Retired,DEP-003,2/2/23,4/1/24,4/1/27
POL-0207,Policy 207,Compliance,Approved,DEP-015,7/4/15,9/4/24,9/4/27
POL-0208,Policy 208: Conduct Management,Member,Approved,DEP-008,12/21/23,5/3/24,5/3/27
POL-0209,Policy 209: Security Management,Member,Approved,DEP-002,4/25/05,8/30/23,8/29/26
POL-0210,Policy 210: Training Management,Legal,Approved,DEP-009,2/3/20,11/18/24,11/18/27
POL-0211,Policy 211: Risk Management,Member,Approved,DEP-011,6/13/23,5/31/22,5/30/25
POL-0212,Policy 212: Security Management,IT,Approved,DEP-001,7/30/15,8/15/24,8/15/27
POL-0213,Policy 213: Risk Management,IT,Approved,DEP-001,7/12/19,12/2/24,12/2/27
POL-0214,Policy 214: Leave Management,Member,Approved,DEP-005,8/14/07,5/11/23,5/10/26
POL-0215,Policy 215: Training Management,Compliance,Under Review,DEP-003,3/8/07,12/27/22,12/26/25
POL-0216,Policy 216: Access Management,Member,Approved,DEP-001,3/6/15,7/10/23,7/9/26
POL-0217,Policy 207: Risk Management,Member,Under Review,DEP-008,1/15/10,10/14/22,10/13/25
POL-0218,Policy 218: Procurement Management,Compliance,Approved,DEP-001,9/13/23,7/22/24,7/22/27
POL-0219,Policy 219: Leave Management,HR,Approved,DEP-001,6/25/20,10/13/22,10/12/25
POL-0220,Policy 220: Training Management,IT,Draft,DEP-010,3/9/24,5/31/23,5/30/26
POL-0221,Policy 221: Retention Management,Legal,Retired,DEP-001,5/12/06,3/11/24,3/11/27
POL-0222,Policy 222: Security Management,Employer,Approved,DEP-004,1/21/08,12/24/24,12/24/27
POL-0223,Policy 223: Risk Management,HR,Retired,DEP-011,2/19/06,1/6/23,1/5/26
POL-0224,Policy 224: Access Management,Admin,Approved,DEP-014,8/9/09,10/29/24,10/29/27
POL-0225,Policy 225: Conduct Management,Admin,Draft,DEP-004,11/5/09,1/8/24,1/7/27
POL-0226,Policy 217: Conduct Management,Operations,Approved,DEP-011,10/1/05,2/14/24,2/13/27
POL-0227,Policy 227: Leave Management,Operations,Retired,DEP-005,12/1/07,10/31/23,10/30/26
POL-0228,Policy 228: Security Management,HR,Approved,DEP-001,12/16/07,8/8/24,8/8/27
POL-0229,Policy 229: Conduct Management,Admin,Approved,DEP-001,4/6/12,10/28/24,10/28/27
POL-0230,Policy 230: Access Management,Member,Under Review,DEP-001,10/19/16,2/5/24,2/4/27
POL-0231,Policy 231: Training Management,Legal,Approved,DEP-001,7/6/16,12/18/24,12/18/27
POL-0232,Policy 232: Retention Management,IT,Approved,DEP-010,3/9/24,10/15/24,10/15/27
POL-0233,Policy 233: Leave Management,Employer,Approved,DEP-014,6/7/19,8/5/24,8/5/27
POL-0234,Policy 234: Training Management,Member,Retired,DEP-002,4/7/18,11/1/24,11/1/27
POL-0235,Policy 235: Training Management,Compliance,Retired,DEP-001,3/3/25,2/2/23,2/1/26
POL-0236,Policy 236: Security Management,Operations,Retired,DEP-001,3/3/11,4/18/23,4/17/26
POL-0237,Policy 237: Retention Management,Legal,Retired,DEP-001,7/18/13,4/10/24,4/10/27
POL-0238,Policy 238: Leave Management,Employer,Retired,DEP-006,5/4/16,9/24/24,9/24/27
POL-0239,Policy 239: Security Management,Risk,Approved,DEP-001,3/3/21,12/30/24,12/30/27
POL-0240,Policy 240: Training Management,IT,Approved,DEP-014,7/14/06,11/4/24,11/4/27
POL-0241,Policy 241: Procurement Management,Member,Approved,DEP-008,5/3/13,9/13/24,9/13/27
POL-0242,Policy 242: Leave Management,Legal,Approved,DEP-005,6/4/08,12/23/24,12/23/27
POL-0243,Policy 226: Procurement Management,Compliance,Retired,DEP-007,8/28/23,1/22/24,1/21/27
POL-0244,Policy 244: Travel Management,Operations,Approved,DEP-001,6/24/17,10/15/24,10/15/27
POL-0245,Policy 245: Travel Management,Compliance,Retired,DEP-014,3/20/14,3/13/24,3/13/27
POL-0246,Policy 246: Records Management,Finance,Approved,DEP-005,6/20/18,10/15/24,10/15/27
POL-0247,Policy 247: Risk Management,Risk,Under Review,DEP-002,10/9/09,8/2/24,8/2/27
POL-0248,Policy 248: Security Management,Legal,Approved,DEP-005,12/18/23,3/31/23,3/30/26
POL-0249,Policy 249: Leave Management,Admin,Draft,DEP-007,5/3/13,9/30/24,9/30/27
POL-0250,Policy 250: Risk Management,Admin,Retired,DEP-014,2/21/20,4/18/22,4/17/25
POL-0251,Policy 251: Risk Management,Finance,Approved,DEP-009,8/26/05,5/20/24,5/20/27
POL-0252,Policy 252: Leave Management,Legal,Approved,DEP-003,11/15/12,1/22/24,1/21/27
POL-0253,Policy 253: Risk Management,Member,Under Review,DEP-009,7/25/06,7/29/24,7/29/27
POL-0254,Policy 254: Security Management,Risk,Approved,DEP-013,10/29/09,11/20/24,11/20/27
POL-0255,Policy 255: Travel Management,Operations,Approved,DEP-014,5/7/16,8/19/24,8/19/27
POL-0256,Policy 256: Risk Management,Admin,Approved,DEP-008,11/27/06,12/1/21,11/30/24
POL-0257,Policy 257: Access Management,Admin,Retired,DEP-013,2/12/06,4/18/23,4/17/26
POL-0258,Policy 258: Training Management,Member,Draft,DEP-001,11/23/15,11/4/24,11/4/27
POL-0259,Policy 259: Leave Management,IT,Approved,DEP-004,12/7/21,10/16/24,10/16/27
POL-0260,Policy 260: Procurement Management,Compliance,Under Review,DEP-014,5/10/11,11/14/23,11/13/26
POL-0261,Policy 261: Training Management,Risk,Approved,DEP-008,12/19/19,11/16/22,11/15/25
POL-0262,Policy 262: Procurement Management,Admin,Approved,DEP-014,3/25/06,10/10/23,10/9/26
POL-0263,Policy 263: Access Management,Finance,Approved,DEP-012,6/30/11,5/24/24,5/24/27
POL-0264,Policy 264: Training Management,Member,Approved,DEP-005,12/10/08,8/19/24,8/19/27
POL-0265,Policy 265: Conduct Management,Risk,Retired,DEP-001,11/24/13,4/15/24,4/15/27
POL-0266,Policy 266: Security Management,Member,Retired,DEP-011,4/30/24,12/18/24,12/18/27
POL-0267,Policy 267: Records Management,Employer,Approved,DEP-014,8/30/25,11/18/24,11/18/27
POL-0268,Policy 268: Procurement Management,Admin,Retired,DEP-011,1/27/14,12/23/24,12/23/27
POL-0269,Policy 269: Leave Management,Compliance,Under Review,DEP-012,4/6/12,7/9/24,7/9/27
POL-0270,Policy 270: Risk Management,Employer,Under Review,DEP-005,8/30/23,8/16/23,8/15/26
POL-0271,Policy 271: Security Management,Member,Approved,DEP-014,12/11/23,12/16/24,12/16/27
POL-0272,Policy 272: Procurement Management,Risk,Approved,DEP-001,10/7/06,8/21/23,8/20/26
POL-0273,Policy 243: Security Management,IT,Approved,DEP-008,6/21/12,10/23/24,10/23/27
POL-0274,Policy 274: Retention Management,Compliance,Approved,DEP-015,11/25/16,7/5/24,7/5/27
POL-0275,Policy 275: Travel Management,Legal,Approved,DEP-006,4/24/11,12/23/24,12/23/27
POL-0276,Policy 276: Access Management,HR,Retired,DEP-006,4/23/07,4/29/24,4/29/27
POL-0277,Policy 277: Risk Management,Operations,Approved,DEP-007,1/19/22,8/29/24,8/29/27
POL-0278,Policy 278: Access Management,Employer,Approved,DEP-012,5/29/15,6/27/23,6/26/26
POL-0279,Policy 279: Risk Management,Employer,Draft,DEP-001,4/11/20,1/24/24,1/23/27
POL-0280,Policy 280: Risk Management,Legal,Approved,DEP-010,5/20/24,2/5/24,2/4/27
POL-0281,Policy 281: Access Management,Employer,Under Review,DEP-009,7/14/06,12/4/24,12/4/27
POL-0282,Policy 282: Leave Management,Finance,Draft,DEP-001,4/7/18,10/16/24,10/16/27
POL-0283,Policy 273: Conduct Management,Employer,Approved,DEP-003,7/14/06,1/16/24,1/15/27
POL-0284,Policy 284: Leave Management,Compliance,Approved,DEP-004,5/7/16,10/4/24,10/4/27
POL-0285,Policy 285: Risk Management,Admin,Approved,DEP-013,10/1/05,2/27/23,2/26/26
POL-0286,Policy 286: Retention Management,HR,Approved,DEP-006,2/2/15,10/31/24,10/31/27
POL-0287,Policy 287: Conduct Management,Legal,Approved,DEP-004,7/28/18,10/28/24,10/28/27
POL-0288,Policy 288: Records Management,Employer,Retired,DEP-012,4/28/07,5/9/24,5/9/27
POL-0289,Policy 289: Security Management,Risk,Retired,DEP-001,6/30/19,2/3/23,2/2/26
POL-0290,Policy 290: Training Management,Risk,Approved,DEP-006,9/22/16,12/5/24,12/5/27
POL-0291,Policy 291: Travel Management,Finance,Retired,DEP-005,9/9/13,9/27/24,9/27/27
POL-0292,Policy 292: Risk Management,HR,Approved,DEP-006,7/14/06,7/30/24,7/30/27
POL-0293,Policy 293: Security Management,Legal,Under Review,DEP-008,2/14/07,8/28/23,8/27/26
POL-0294,Policy 294: Leave Management,Finance,Under Review,DEP-001,3/26/21,12/3/20,12/3/23
POL-0295,Policy 295: Access Management,Legal,Under Review,DEP-001,10/30/06,7/18/24,7/18/27
POL-0296,Policy 296: Travel Management,Finance,Approved,DEP-001,9/19/19,9/20/24,9/20/27
POL-0297,Policy 297: Access Management,Admin,Approved,DEP-001,11/24/20,1/12/24,1/11/27
POL-0298,Policy 298: Retention Management,Member,Approved,DEP-013,6/8/19,6/26/24,6/26/27
POL-0299,Policy 299: Retention Management,Compliance,Under Review,DEP-009,6/29/19,9/9/24,9/9/27
POL-0300,Policy 300: Travel Management,HR,Draft,DEP-001,2/18/13,6/7/22,6/6/25