PolicyID,PolicyTitle,PolicyType,Status,OwnerDepartmentID,EffectiveDate,ExpirationDate,LastUpdatedDate
POL-0153,Policy 153: Risk Management,HR,Retired,DEP-010,2022-02-12,,2024-10-02
POL-0154,Policy 154: Retention Management,Employer,Approved,DEP-006,2025-07-19,,08/25/2025
POL-0155,Policy 155: Procurement Management,Employer,Approved,DEP-011,2007-01-18,,2016-03-16
POL-0156,Policy 156: Travel Management,Legal,Draft,DEP-005,"Jan 12, 2020",,2023-09-23
POL-0157,Policy 157: Procurement Management,Employer,, DEP-001 ,2011-06-20,,12-Jun-2020
POL-0158,Policy 158: Retention Management,HR,Approved,DEP-012,2015-03-15,2018-03-15,
POL-0159,Policy 159: Security Management,Member,Under Review,DEP-004,26-May-2024,,2024-05-26
POL-0160,Policy 160: Retention Management,Employer,Approved,DEP-001,2014-04-09,2019-04-09,2022-05-20
POL-0161,Policy 161: Risk Management, Employer ,Approved,DEP-007,2019-01-11,,2019-08-10
POL-0162,Policy 162: Conduct Management,Finance,Approved,DEP-009,04/27/2017,,2022-03-26
POL-0163,Policy 163: Training Management,Compliance,Approved,DEP-014,2005-08-25,,2019-04-21
POL-0164,Policy 164: Conduct Management,Operations,Approved,DEP-007,2011-12-21,,2024-05-10
 POL-0165 , Policy 165: Procurement Management ,Compliance, Under Review ,DEP-005,2010-01-15,, 2012-08-01 
POL-0166,Policy 166: Training Management,Compliance,Approved,DEP-004,2019-07-13,,02/12/2025
POL-0167,Policy 167: Leave Management,Risk,Under Review,,10/27/2020,,2025-07-02
POL-0168,Policy 168: Training Management,Employer,Draft,DEP-001,20-Jun-2010,, 2013-09-16 
POL-0169,,IT,Approved,DEP-012,2018-06-12,,2019-12-23
POL-0170, Policy 170: Security Management ,Finance,Draft,DEP-006,2022-05-01,,2024-08-27
POL-0171,Policy 171: Travel Management,Risk,Approved,DEP-006,2010-12-29,,2017-05-03
POL-0172,Policy 172: Leave Management,Admin,Approved,DEP-001,,,01-Jul-2023
POL-0173,Policy 173: Access Management,Employer,Approved, DEP-004 ,2017-01-30,,2020-10-22
 POL-0174 ,Policy 174: Retention Management,Risk,Draft,DEP-008,2013-06-18,,2020-09-05
POL-0175, Policy 175: Conduct Management , IT ,Approved,DEP-004,"Oct 29, 2017",  ,2022-06-07
POL-0176, Policy 176: Records Management ,Legal,Retired,DEP-006,2021-09-14,,2023-11-03
POL-0177,Policy 177: Procurement Management,Operations,Under Review,DEP-009,2016-02-10,,2017-07-11
POL-0178,Policy 178: Retention Management,Admin,Approved,DEP-001,2012-06-12,,2022-04-27
POL-0179,Policy 179: Security Management,Risk,Approved,DEP-001,2025-06-03,,2025-06-21
 POL-0180 ,Policy 180: Procurement Management,Operations,Approved,DEP-013,2006-09-05,,08/15/2012
POL-0181, Policy 181: Travel Management ,Admin,Approved,DEP-004,2020-07-15,  ,2020-12-26
POL-0182,Policy 182: Travel Management,Risk,Approved,DEP-005,2013-07-11,,06/20/2024
POL-0183,Policy 183: Retention Management,HR,Approved,DEP-014,2018-11-07,2024-11-07,27-Jan-2022
POL-0184,Policy 184: Conduct Management,,, DEP-014 ,2014-09-26,,
POL-0185,Policy 185: Security Management,Employer,Draft,DEP-001,2008-09-24,,2009-05-19
POL-0186,Policy 186: Records Management,, Draft ,DEP-001, 2022-11-10 ,2025-11-10,
POL-0187,Policy 187: Procurement Management,Operations,Approved,DEP-001,2010-06-24,,2023-03-04
POL-0188,Policy 188: Access Management,Operations,Approved,DEP-001,,12/05/2015,2017-07-04
POL-0189,Policy 189: Risk Management,IT,Draft,DEP-012,2016-02-29,,10/07/2017
 POL-0190 ,Policy 190: Conduct Management,Employer,Approved,DEP-011,2019-04-23,,2022-03-03
POL-0191,Policy 191: Records Management,Employer,Approved,DEP-001,"Mar 19, 2025",,2025-08-05
POL-0192,Policy 192: Access Management,Compliance,Retired,DEP-008,2014-11-28,,2021-06-30
POL-0193,Policy 193: Leave Management,Member,Approved,DEP-010,,,2025-03-23
POL-0194,Policy 194: Leave Management,IT,Under Review,DEP-002,"Aug 18, 2013",  ,01/08/2016
POL-0195,Policy 195: Conduct Management,,Approved,DEP-010,"Oct 30, 2017",,2021-02-22
 POL-0196 ,Policy 196: Leave Management,HR,Approved,DEP-014,2023-08-14,  ,21-May-2024
POL-0197,Policy 197: Records Management,Admin,Approved,DEP-004,2024-05-27,,12-Jun-2025
 POL-0198 ,Policy 198: Records Management,Admin,Retired,DEP-003,2021-09-18,,
POL-0199,,Admin,Approved,DEP-012,2022-12-27,,2024-10-08
 POL-0200 ,Policy 200: Conduct Management,Admin,Approved,DEP-010,16-Aug-2010,,2025-05-29
POL-0201, Policy 201: Access Management ,Compliance,Retired, DEP-001 ,2025-04-06,, 2025-04-16 
POL-0202,Policy 202: Leave Management,Employer,Approved,DEP-006, 2005-10-01 ,,2022-03-05
POL-0203,Policy 203: Access Management,Compliance,Retired,DEP-003,2025-05-27,,2025-08-30
POL-0204,Policy 204: Procurement Management,Operations,,DEP-004,2009-07-03,03-Jul-2014,2017-09-16
POL-0205,Policy 205: Retention Management,,Draft,DEP-013,2025-06-28,,2025-07-19
POL-0206,Policy 206: Leave Management,Employer, Retired ,DEP-003,"Feb 02, 2023",  ,2025-07-12
POL-0207,,Compliance,Approved,DEP-014,2015-07-04,,2017-01-30
POL-0208,Policy 208: Conduct Management,Member,Approved,DEP-008,2023-12-21,,12/29/2024
POL-0209,Policy 209: Security Management,Member,Approved,DEP-002, 2005-04-25 ,,2008-02-01
POL-0210,Policy 210: Training Management,Legal,Approved,DEP-009,03-Feb-2020,,2021-07-23
POL-0211,Policy 211: Risk Management,Member,Approved,DEP-011,2023-06-13,,2024-06-27
POL-0212,Policy 212: Security Management, IT ,Approved,DEP-001,2015-07-30,2020-07-30,2019-04-03
POL-0213,Policy 213: Risk Management,IT,Approved,DEP-001,2019-07-12, 2026-07-12 ,2024-09-24
POL-0214,Policy 214: Leave Management,Member,,DEP-005,14-Aug-2007,"Aug 14, 2008",06/11/2014
POL-0215,Policy 215: Training Management,Compliance,Under Review, DEP-003 ,2007-03-08,, 2019-03-28 
POL-0216,Policy 216: Access Management,Member, Approved ,DEP-001,2015-03-06,,2023-07-05
POL-0217,,Member,Under Review,DEP-008,,  , 2019-11-27 
POL-0218,Policy 218: Procurement Management,Compliance,Approved,DEP-001,2023-09-13,,2024-11-03
POL-0219,Policy 219: Leave Management,HR,Approved,DEP-001,25-Jun-2020,,2022-12-20
POL-0220,Policy 220: Training Management,IT,Draft,DEP-010, 2024-03-09 ,,03/20/2025
POL-0221, Policy 221: Retention Management ,Legal,Retired,DEP-001,2006-05-12,,2010-08-13
POL-0222,Policy 222: Security Management,Employer,Approved,DEP-004, 2007-01-21 ,,2021-06-12
POL-0223,Policy 223: Risk Management,HR,Retired,DEP-011,2006-02-19,,2011-08-07
POL-0224,Policy 224: Access Management,Admin,Approved,DEP-014,2009-08-09,2016-08-09,2022-01-13
POL-0225,Policy 225: Conduct Management,Admin,Draft,DEP-004,05-Nov-2009,,2015-01-26
 POL-0226 ,,Operations,Approved,DEP-011,,,09/14/2022
POL-0227,Policy 227: Leave Management,Operations,Retired,DEP-005,2007-12-01,,2011-10-30
POL-0228,Policy 228: Security Management,HR,Approved,DEP-001,2007-12-16,,2025-08-21
POL-0229,Policy 229: Conduct Management,Admin,Approved,DEP-001, 2012-04-06 ,"Apr 06, 2015",
 POL-0230 ,Policy 230: Access Management,Member,Under Review, DEP-001 ,10/19/2016,2017-10-19,02/20/2022
 POL-0231 ,Policy 231: Training Management,Legal,Approved,DEP-001,2016-07-06,,2021-07-31
POL-0232,Policy 232: Retention Management,IT,Approved,DEP-010,,2025-10-18,2024-08-22
POL-0233,Policy 233: Leave Management,Employer,Approved,DEP-014,2019-06-07,,2020-02-11
POL-0234,Policy 234: Training Management,Member,Retired,DEP-002,,,
POL-0235,Policy 235: Training Management,Compliance,Retired, DEP-001 ,2025-03-03,,2025-04-09
POL-0236,Policy 236: Security Management,Operations,Retired,DEP-001,2011-03-03,,2024-04-18
POL-0237,Policy 237: Retention Management,Legal,Retired,DEP-001,2013-07-18,,2025-06-11
POL-0238,Policy 238: Leave Management,Employer,Retired,DEP-006,"May 04, 2016",,2017-06-14
POL-0239,Policy 239: Security Management,Risk,Approved,DEP-001,2021-03-03,,2023-07-31
POL-0240,Policy 240: Training Management,IT,Approved, DEP-014 ,,,2024-06-14
POL-0241,Policy 241: Procurement Management,Member,Approved,DEP-008, 2021-05-13 ,"May 13, 2025",2023-02-12
POL-0242,Policy 242: Leave Management,Legal,Approved,DEP-005,2008-06-04,,
POL-0243,,Compliance,Retired,DEP-007,2023-08-28,2027-08-28,12/04/2023
POL-0244,Policy 244: Travel Management,Operations,Approved,DEP-001, 2017-06-24 ,2022-06-24,2023-10-11
POL-0245,Policy 245: Travel Management,Compliance,Retired,DEP-014,2014-03-20,,2023-09-13
POL-0246,Policy 246: Records Management,Finance,Approved,DEP-005,2018-06-20,,2019-08-18
POL-0247,Policy 247: Risk Management,Risk,Under Review,DEP-002,"Oct 09, 2009",2013-10-09,10/20/2014
POL-0248,Policy 248: Security Management,Legal,Approved,DEP-005,12/18/2023,,2024-04-13
POL-0249,Policy 249: Leave Management,Admin,Draft,DEP-007,,,2022-08-27
POL-0250,Policy 250: Risk Management,Admin,Retired,DEP-014,2020-02-21,,2020-04-14
POL-0251,Policy 251: Risk Management,Finance,Approved,DEP-009,2005-08-26,2011-08-26,
POL-0252,Policy 252: Leave Management,Legal,Approved,DEP-003,2012-11-15,2019-11-15,2016-02-01
POL-0253,Policy 253: Risk Management,Member,Under Review,DEP-009,2006-07-25,2012-07-25,2007-04-02
POL-0254,Policy 254: Security Management,Risk,Approved,DEP-013,2009-10-29,  ,2020-01-01
POL-0255,Policy 255: Travel Management,Operations,Approved,DEP-014,,,2020-07-29
POL-0256, Policy 256: Risk Management ,Admin,Approved,DEP-008,2006-11-27,,2010-05-24
POL-0257,Policy 257: Access Management, Admin ,Retired,DEP-013, 2006-02-12 ,,03/21/2012
 POL-0258 ,Policy 258: Training Management,Member, Draft ,DEP-001,2015-11-23,,07/15/2020
POL-0259,Policy 259: Leave Management,IT,Approved,DEP-004,12/07/2021,  ,2023-11-13
POL-0260,Policy 260: Procurement Management,Compliance,Under Review,DEP-014, 2011-05-10 ,,2024-08-27
POL-0261,Policy 261: Training Management,Risk,Approved,DEP-008,2019-12-19,,2022-06-09
POL-0262, Policy 262: Procurement Management ,Admin,Approved,DEP-014,2006-03-25,03/25/2009,2010-12-19
POL-0263,Policy 263: Access Management,Finance,Approved,DEP-012,2011-06-30,,"Sep 01, 2011"
POL-0264,Policy 264: Training Management,Member,Approved,DEP-005,12/10/2008,2013-12-10,2024-09-21
POL-0265,Policy 265: Conduct Management,Risk,Retired,DEP-001,,,2021-07-03
POL-0266,Policy 266: Security Management,Member,Retired,DEP-011,2024-04-30,,2024-12-09
POL-0267,Policy 267: Records Management,Employer,Approved,DEP-014,30-Aug-2025,2028-08-30,2025-09-01
POL-0268,Policy 268: Procurement Management, Admin ,Retired,DEP-011,2014-01-27,,2023-06-10
POL-0269,Policy 269: Leave Management,Compliance,Under Review,DEP-012,,"Feb 01, 2017",2017-12-09
POL-0270,Policy 270: Risk Management,Employer, Under Review ,DEP-005,2023-08-30,,09/03/2024
POL-0271,Policy 271: Security Management,Member,Approved,DEP-014,12/11/2023,2027-12-11,2025-08-05
 POL-0272 ,Policy 272: Procurement Management,Risk,Approved,DEP-001,"Oct 07, 2006",,2013-09-21
POL-0273,,IT,Approved,DEP-008,2012-06-21,,2014-03-08
POL-0274,Policy 274: Retention Management,Compliance,Approved,DEP-999,11/25/2016,,2025-08-09
POL-0275,Policy 275: Travel Management,Legal,Approved, DEP-006 , 2021-04-25 ,  ,2024-12-06
POL-0276,Policy 276: Access Management,, Retired ,DEP-006,2007-04-23,2009-04-23,2011-03-14
 POL-0277 ,Policy 277: Risk Management,Operations,Approved,DEP-007,2022-01-19,,22-Jun-2022
POL-0278,Policy 278: Access Management,Employer,Approved,DEP-012,2015-05-29,,"Dec 05, 2023"
POL-0279,Policy 279: Risk Management,Employer,Draft, DEP-001 ,2020-04-11,,2023-06-11
POL-0280,Policy 280: Risk Management,Legal,Approved,DEP-010,2024-05-20,,
POL-0281,Policy 281: Access Management,Employer,Under Review,DEP-009, 2006-07-14 ,,2020-09-10
POL-0282, Policy 282: Leave Management ,Finance,Draft,DEP-001,2018-04-07,2023-04-07,
POL-0283,,Employer,Approved,DEP-003,,2018-02-20,18-Jun-2024
POL-0284,Policy 284: Leave Management,Compliance,Approved,DEP-004,,  ,2020-06-21
POL-0285,Policy 285: Risk Management,Admin,Approved,DEP-013,,,2022-11-18
POL-0286,Policy 286: Retention Management,HR,Approved,DEP-006,2015-02-02,,2021-07-01
POL-0287,Policy 287: Conduct Management,Legal,Approved,DEP-004,07/28/2018,  ,2020-04-05
POL-0288, Policy 288: Records Management ,Employer, Retired ,DEP-012,04/28/2007,,2015-01-09
POL-0289,Policy 289: Security Management,Risk,Retired,DEP-001,2019-06-30,30-Jun-2021,2024-05-27
POL-0290,Policy 290: Training Management,Risk,Approved,DEP-006,2016-09-22,,2020-10-21
POL-0291,Policy 291: Travel Management,Finance,Retired,DEP-005,2013-09-09,  ,2021-04-11
POL-0292,Policy 292: Risk Management,HR,Approved,DEP-006,,,2024-07-30
POL-0293,Policy 293: Security Management,Legal,Under Review,DEP-008,2007-02-14,,16-Oct-2015
POL-0294,Policy 294: Leave Management,Finance,Under Review,DEP-001,2021-03-26,,2024-08-11
POL-0295,Policy 295: Access Management,Legal,Under Review,DEP-001,2006-10-30,,2009-12-31
POL-0296,Policy 296: Travel Management, Finance ,Approved,DEP-001,2019-09-19,,2024-02-10
POL-0297,Policy 297: Access Management,Admin,Approved,DEP-001,"Nov 24, 2020",,
POL-0298,Policy 298: Retention Management,Member,Approved, DEP-013 ,2019-06-08,,2020-11-12
POL-0299,Policy 299: Retention Management,Compliance,Under Review,DEP-009,06/29/2019,  ,2025-03-11
POL-0300,Policy 300: Travel Management,HR,Draft,DEP-001,2013-02-18,,2017-12-08
 POL-0190 ,Policy 190: Conduct Management,Employer,Approved,DEP-011,2019-04-23,,2022-03-03
POL-0124,Policy 124: Procurement Management,Risk,Retired,DEP-005,2012-06-02,,2022-08-06
POL-0186,Policy 186: Records Management,, Draft ,DEP-001,2022-11-10,2025-11-10,
POL-0214,Policy 214: Leave Management,Member,,DEP-005, 2007-08-14 , 2008-08-14 ,2014-06-11
POL-0107,Policy 107: Security Management,Finance,Under Review,DEP-009,27-Jan-2024,,2024-05-29
POL-0128,,Risk,draft,DEP-001,2018-05-21,  ,2019-07-06
